timestamp,rms_velocity
23:35:40.565,0.0
23:35:41.071,0.0
23:35:41.498,0.0
23:35:42.237,0.0
23:35:42.714,0.0
23:35:43.137,0.0
23:35:43.579,0.0
23:35:44.123,0.0
23:35:44.567,0.0
23:35:45.082,0.0
23:35:45.528,0.0
23:35:46.015,282.21362168175796
23:35:46.512,279.71627590385435
23:35:47.421,396.27875045748425
23:35:48.101,214.44192368169686
23:35:48.833,410.62318814516516
23:35:49.537,610.1784715729574
23:35:50.281,308.3552172221629
23:35:51.020,655.3219291088583
23:35:51.763,519.6760706763979
23:35:52.545,565.9720729722507
23:35:53.266,572.1658155337091
23:35:54.012,574.7671452781939
23:35:54.758,771.3131244196364
23:35:55.524,651.7090114629252
23:35:56.601,525.5005759019052
23:35:57.360,558.3133037531953
23:35:58.172,497.2553910876474
23:35:58.941,594.7592432040775
23:35:59.708,559.2276099393149
23:36:00.532,707.6090784873438
23:36:01.352,296.5211197267709
23:36:02.222,605.5805567431846
23:36:03.054,665.359024665776
23:36:03.863,726.1804515120325
23:36:04.861,566.5556610807057
23:36:05.865,683.3699931204443
23:36:06.977,425.66135477952565
23:36:08.060,647.6969938577155
23:36:08.926,352.11461146621787
23:36:09.826,497.2688051481265
23:36:10.672,667.2771589759718
23:36:11.962,675.5424549051261
23:36:12.986,409.1277953461378
23:36:13.988,583.9414640068085
23:36:15.035,582.5543411246229
23:36:15.942,540.2900874760218
23:36:16.956,575.1752015334882
23:36:17.892,651.4458790868568
23:36:19.057,654.0999291427422
23:36:20.016,496.84814763109216
23:36:20.918,771.3500430135572
23:36:21.888,706.7467716175033
23:36:22.848,367.1873100132272
23:36:23.908,257.6054628348123
23:36:25.302,630.5932193613943
23:36:26.348,699.2376232941015
23:36:27.434,858.1781594679262
23:36:28.606,817.4027295877353
23:36:29.682,711.5950674586816
23:36:30.829,509.55233757125956
23:36:32.247,567.3320295207707
23:36:33.801,415.22030432427704
23:36:36.676,567.5480616265386
23:36:39.170,564.2846297559222
23:36:41.851,448.9629141836446
23:36:44.038,564.4257610018074
23:36:46.574,476.38642273082826
23:36:48.791,735.2174346608772
23:36:51.002,486.3705244524446
23:36:53.279,343.76161137931535
23:36:55.513,144.4157030011837
23:36:58.137,567.4524199197909
23:37:00.531,478.02438350462467
23:37:02.818,434.1058685370068
23:37:05.140,264.16651506312064
23:37:07.357,563.8293868642393
23:37:10.040,536.8091062944216
23:37:12.672,368.58332431231554
23:37:15.224,444.61701789762685
23:37:17.806,450.69296203186263
23:37:20.724,610.3661456480563
23:37:23.143,369.97141592680856
23:37:25.640,435.73774384457295
23:37:28.271,389.7371287343378
23:37:30.679,563.9002244455186
23:37:33.578,696.8724980352624
23:37:36.048,593.011413621356
23:37:38.658,535.3536943371336
23:37:41.104,585.534341164373
23:37:44.163,361.87616047688203
23:37:46.721,615.7247262873087
23:37:49.278,298.1177265465105
23:37:51.891,482.7858049829988
23:37:54.823,433.19150862599923
23:37:57.408,501.5700063688048
23:38:00.077,609.1294658511636
23:38:02.735,557.6011945398576
23:38:06.141,612.7443610739696
23:38:09.368,415.35771694375677
